ID,"Class"
750,Blankenship
751,Peterson
752,Nigam
753,Chell
754,Engineer
755,Wilson
756,Morrison
757,Harp
758,McKee
759,Shea
760,Chachra
761,Merritt
762,CFH
763,Walters
764,Brown
765,Grove
766,Agresti
767,Cutey
768,Walters
769,Engineer
770,Calvinnme
771,Auken
772,Lovitt
773,Brown
774,Lee
775,Agresti
776,McKee
777,Agresti
778,Koenig
779,Corn
780,Cholette
781,Auken
782,Chachra
783,Robert
784,Lovitt
785,Shea
786,McKee
787,Harp
788,Shea
789,McKee
790,Cholette
791,Grove
792,Morrison
793,Ashbacher
794,CFH
795,Auken
796,Riley
797,Chandler
798,McKee
799,McKee
800,Hayes
801,Mark
802,Auken
803,Robert
804,Riley
805,Bukowsky
806,Mitchell
807,Comdet
808,Agresti
809,Engineer
810,Blankenship
811,McKee
812,McKee
813,Sherwin
814,Johnson
815,McKee
816,Calvinnme
817,Peterson
818,Riley
819,Taylor
820,Corn
821,Harp
822,Mark
823,Blankenship
824,Auken
825,Chachra
826,Kolln
827,Riley
828,Janson
829,Auken
830,Mahlers2nd
831,Janson
832,Blankenship
833,McKee
834,Mahlers2nd
835,Engineer
836,Lee
837,Auken
838,Dent
839,Riley
840,McKee
841,Riley
842,Lawyeraau
843,Janson
844,Mahlers2nd
845,Mitchell
846,CFH
847,Peterson
848,Chell
849,Mahlers2nd
850,Brown
851,Bukowsky
852,Chell
853,Messick
854,Calvinnme
855,Bukowsky
856,Johnson
857,Chachra
858,Chachra
859,Goonan
860,Merritt
861,Riley
862,Taylor
863,Bukowsky
864,Cholette
865,Lawyeraau
866,Wilson
867,Lovitt
868,Bukowsky
869,Comdet
870,Riley
871,Harp
872,Brody
873,Riley
874,Mark
875,Lovitt
876,Bukowsky
877,Kolln
878,Neal
879,Bukowsky
880,Comdet
881,Engineer
882,Davisson
883,McKee
884,Nigam
885,Morrison
886,Mark
887,Vernon
888,Vernon
889,Walters
890,Mitchell
891,Power
892,Taylor
893,Peterson
894,McKee
895,Engineer
896,Calvinnme
897,Merritt
898,Koenig
899,Engineer
900,McKee
901,Nigam
902,McKee
903,McKee
904,McKee
905,McKee
906,Nigam
907,Engineer
908,Harp
909,McKee
910,Mahlers2nd
911,Chell
912,Chell
913,Grove
914,Taylor
915,Blankenship
916,Vernon
917,CFH
918,Walters
919,Goonan
920,Riley
921,Chachra
922,McKee
923,Mark
924,Bukowsky
925,Peterson
926,Taylor
927,Wilson
928,Grove
929,Engineer
930,Morrison
931,Chachra
932,Nigam
933,Corn
934,Goonan
935,Grove
936,Vernon
937,Harp
938,Riley
939,Riley
940,Brown
941,Grove
942,Robert
943,Neal
944,Mitchell
945,Lawyeraau
946,Agresti
947,Bukowsky
948,Robert
949,Power
950,Vernon
951,McKee
952,Power
953,McKee
954,Taylor
955,Chell
956,Blankenship
957,Grove
958,Mitchell
959,Grove
960,McKee
961,Auken
962,Taylor
963,Messick
964,McKee
965,Robert
966,Cutey
967,Auken
968,Davisson
969,Goonan
970,Robert
971,McKee
972,Mitchell
973,Riley
974,Chell
975,Johnson
976,Harp
977,Blankenship
978,Harp
979,McKee
980,McKee
981,Engineer
982,CFH
983,Comdet
984,Peterson
985,Cutey
986,Janson
987,Lawyeraau
988,Johnson
989,Power
990,Robert
991,Mitchell
992,Lee
993,Chachra
994,Auken
995,Harp
996,Bukowsky
997,Power
998,Comdet
999,CFH
1000,Taylor
1001,Blankenship
1002,Peterson
1003,Chachra
1004,Bukowsky
1005,Calvinnme
1006,Kolln
1007,McKee
1008,Riley
1009,Janson
1010,Lawyeraau
1011,Chachra
1012,Harp
1013,Lawyeraau
1014,Vernon
1015,Cholette
1016,Harp
1017,Brody
1018,Taylor
1019,CFH
1020,Chachra
1021,McKee
1022,Corn
1023,McKee
1024,Grove
1025,Chell
1026,Robert
1027,Nigam
1028,Wilson
1029,Lee
1030,Cholette
1031,Bukowsky
1032,Mahlers2nd
1033,Lee
1034,Riley
1035,Johnson
1036,Mitchell
1037,Sherwin
1038,Ashbacher
1039,Taylor
1040,Lovitt
1041,McKee
1042,Auken
1043,Engineer
1044,Engineer
1045,Janson
1046,Nigam
1047,Morrison
1048,Auken
1049,Neal
1050,Goonan
1051,Engineer
1052,Bukowsky
1053,Engineer
1054,Power
1055,Grove
1056,Engineer
1057,Janson
1058,Harp
1059,Taylor
1060,McKee
1061,Mitchell
1062,McKee
1063,Vernon
1064,Harp
1065,Corn
1066,Morrison
1067,Lee
1068,Cutey
1069,McKee
1070,Walters
1071,Lovitt
1072,Chell
1073,Blankenship
1074,McKee
1075,Neal
1076,McKee
1077,Auken
1078,Robert
1079,Neal
1080,Agresti
1081,Robert
1082,Blankenship
1083,Vernon
1084,Neal
1085,Mitchell
1086,Chachra
1087,Vernon
1088,Harp
1089,McKee
1090,Comdet
1091,McKee
1092,Kolln
1093,Mahlers2nd
1094,Ashbacher
1095,Walters
1096,Peterson
1097,Mahlers2nd
1098,Cholette
1099,Brody
1100,Grove
1101,Power
1102,Comdet
1103,Comdet
1104,Neal
1105,Janson
1106,Cutey
1107,McKee
1108,Walters
1109,Power
1110,Comdet
1111,McKee
1112,McKee
1113,Riley
1114,Vernon
1115,Neal
1116,Engineer
1117,Engineer
1118,Hayes
1119,Sherwin
1120,Walters
1121,Neal
1122,Blankenship
1123,Walters
1124,Agresti
1125,Vernon
1126,Dent
1127,Riley
1128,Neal
1129,Riley
1130,Bukowsky
1131,Blankenship
1132,Mahlers2nd
1133,McKee
1134,Koenig
1135,Calvinnme
1136,Brody
